aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
A320neo,AIRBUS,2007,"62,189 hrs","45,564 cycles",LEAP-1A,"1,040 hrs",572 cycles,Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Excellent,180 seats,1 ADs,55,47.6,"2,637 kg/hr",18961000.0,14495000.0,15605000.0
A320-200,AIRBUS,2002,"72,519 hrs","40,983 cycles",CFM56-5B,"2,911 hrs","1,309 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Poor,180 seats,5 ADs,35,58.6,"1,653 kg/hr",8729000.0,9419000.0,10003000.0
A320neo,Airbus,1998,"71,095 hrs","31,999 cycles",PW1100G,"6,762 hrs","3,906 cycles",Fresh C-Check,MSG-3,Off Lease,North America,Yes,No,Major,Excellent,180 seats,2 ADs,27,100.0,"2,420 kg/hr",7403000.0,8669000.0,8244000.0
737 MAX 8,BOEING,2012,"35,716 hrs","25,395 cycles",LEAP-1B,"8,175 hrs","5,134 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,No,Yes,None,Excellent,178 seats,1 ADs,21,49.2,"3,382 kg/hr",28611000.0,24753000.0,27843000.0
787-9,boeing,2022,"9,489 hrs","4,187 cycles",GEnx-1B,"1,997 hrs","1,424 cycles",Fresh D-Check,Hourly Inspection,Owned,Latin America,Yes,No,None,Good,296 seats,1 ADs,50,50.9,"1,098 kg/hr",141872000.0,136714000.0,128802000.0
747-8F,boeing,2003,"57,400 hrs","25,297 cycles",GEnx-2B,"7,475 hrs","4,684 cycles",Fresh C-Check,OEM Managed,Off Lease,North America,Yes,Yes,None,Poor,Freighter (0 seats),0 ADs,51,83.2,"2,473 kg/hr",41822000.0,39249000.0,40644000.0
737-800,BOEING,2018,"26,437 hrs","14,554 cycles",CFM56-7B,"4,948 hrs","2,720 cycles",Fresh D-Check,Hourly Inspection,On Lease,Europe,No,No,None,Fair,189 seats,1 ADs,35,34.7,"2,866 kg/hr",36853000.0,28590000.0,30938000.0
737 MAX 8,BOEING,2011,"41,938 hrs","29,370 cycles",LEAP-1B,"3,497 hrs","2,591 cycles",Fresh C-Check,OEM Managed,On Lease,Europe,No,Yes,None,Good,178 seats,Not Reported,37,78.3,"2,407 kg/hr",24505000.0,24397000.0,23830000.0
737 MAX 8,BOEING,2006,"31,577 hrs","22,752 cycles",LEAP-1B,"8,399 hrs","5,164 cycles",Fresh D-Check,Hourly Inspection,Owned,North America,Yes,Yes,Minor,Excellent,178 seats,2 ADs,39,61.4,"2,669 kg/hr",24243000.0,19843000.0,19514000.0
737-800,boeing,2019,"12,931 hrs","6,157 cycles",CFM56-7B,"1,971 hrs","1,012 cycles",Fresh C-Check,MSG-3,Off Lease,Middle East,Yes,No,None,Fair,189 seats,1 ADs,2,44.4,"3,921 kg/hr",32858000.0,34954000.0,34226000.0
