tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
Capitol Desk,Online,Wages,2023 TY,"$112,080",Standard,"$3,650","$6,090",Single,2-page,5.50%,Simple,No filing yet,Yes,Yes,25361.45,4 stars,13,13,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Mixed,2023 TY,"$35,850",Standard,"$16,290","$13,030",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,0.0,5 stars,4,7,3 dependents,"$20,800","$4,800",No
Prairie Desk,Preparer,Wages,2020 TY,"$44,430",Standard,"$1,450","$2,410",Married Joint,8-page,7.00%,Schedule-heavy,On time,No,Yes,2893.95,4 stars,7,10,1 dependent,"$27,700","$1,600",Yes
River Desk,Preparer,Contract,2021 TY,"$6,060",Standard,"$10,380",$870,Married Joint,2-page,3.00%,Simple,On time,No,No,0.0,4 stars,5,1,3 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,2019 TY,"$87,870",Standard,"$2,870","$4,780",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,12685.67,5 stars,7,15,0 dependents,"$13,850",$0,No
Delta Desk,Online,Self-employed,Not Available,"$15,880",Itemized,"$84,690","$5,290",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,8998.62,5 stars,5,16,1 dependent,"$28,770","$2,000",No
Capitol Desk,Preparer,Wages,2022 TY,"$110,430",Standard,"$3,600","$6,000",Single,2-page,6.20%,Simple,On time,Yes,No,20114.97,5 stars,0,13,2 dependents,"$13,850","$3,200",Yes
Capitol Desk,Online,Self-employed,2023 TY,"$3,150",Standard,"$16,780","$1,050",Head of Household,8-page,6.20%,Schedule-heavy,On time,No,Yes,0.0,4 stars,9,7,0 dependents,"$20,800",$0,Yes
North Desk,Online,Wages,2023 TY,"$89,240",Standard,"$2,910","$4,850",Married Joint,8-page,0.00%,Schedule-heavy,No filing yet,No,No,10318.62,3 stars,9,15,0 dependents,"$27,700",$0,No
Central Desk,Online,Investment,Not Available,"$20,330",Standard,"$10,160","$71,150",Married Separate,2-page,0.00%,Simple,On time,Yes,No,8601.06,5 stars,3,11,0 dependents,"$13,850",$0,No
Central Desk,Walk-in,Wages,2020 TY,"$74,840",Standard,"$2,440","$4,070",Single,2-page,4.75%,Simple,On time,Yes,Yes,13701.87,5 stars,1,9,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Contract,2023 TY,"$7,300",Itemized,"$12,520","$1,040",Single,2-page,3.00%,Simple,No filing yet,Yes,No,147.58,4 stars,15,2,1 dependent,"$24,810",$0,Yes
River Desk,Preparer,Mixed,2023 TY,"$67,120",Itemized,"$30,510","$24,410",Married Joint,2-page,5.50%,Simple,On time,No,Yes,9083.07,4 stars,3,13,0 dependents,"$60,680",$800,Yes
Prairie Desk,Walk-in,Investment,2019 TY,"$27,780",Itemized,"$13,890","$97,230",Married Separate,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,12431.81,4 stars,13,20,0 dependents,"$23,600",$0,No
Central Desk,Online,Pension,2023 TY,"$40,270",Standard,$0,"$7,110",Married Separate,2-page,5.50%,Simple,On time,Yes,No,3635.81,5 stars,9,5,1 dependent,"$13,850","$1,600",Yes
