campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
North Campus,In-person,Algebra,2023 CY,11.3 hours,Required,2.42 GPA,2.4 hours,Senior,10-week,72.1%,Lecture,On time,Yes,No,62.73,2 stars,7,4,1 partner,9 cr,7.5 hours,Yes,Small
Prairie Campus,Hybrid,Literature,2023 CY,10.2 hours,Elective,3.49 GPA,4.5 hours,Freshman,16-week,97.2%,Lecture,2-year retake,No,No,79.57,3 stars,11,1,1 partner,15 cr,7.1 hours,No,Small
Delta Campus,Online,Algebra,2020 CY,3.4 hours,Elective,2.01 GPA,0.9 hours,Sophomore,12-week,80.9%,Lecture,Late enroll,No,No,51.81,1 star,8,0,2 partners,13 cr,6.7 hours,Yes,Small
North Campus,Online,Stats,2021 CY,6.4 hours,Required,2.97 GPA,1.6 hours,Junior,16-week,85.5%,Lab-heavy,Late enroll,No,No,70.57,3 stars,17,1,1 partner,16 cr,7.2 hours,Yes,Small
River Campus,In-person,Biology,2019 CY,7.8 hours,Elective,3.86 GPA,2.8 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,Yes,87.29,4 stars,13,2,0 partners,15 cr,6.3 hours,Yes,Small
Grove Campus,In-person,Literature,Not Available,12.3 hours,Required,2.88 GPA,6.7 hours,Freshman,10-week,97.6%,Studio,On time,Yes,Yes,74.95,3 stars,14,8,0 partners,16 cr,6.1 hours,No,Medium
North Campus,In-person,History,2022 CY,7.3 hours,Elective,3.19 GPA,3.0 hours,Sophomore,16-week,81.7%,Lecture,On time,Yes,No,77.36,3 stars,10,4,1 partner,16 cr,6.5 hours,Yes,Small
Delta Campus,Hybrid,Literature,2023 CY,8.8 hours,Required,3.64 GPA,1.5 hours,Graduate,16-week,92.0%,Lecture,On time,No,No,79.18,3 stars,8,1,1 partner,12 cr,6.3 hours,Yes,Large
River Campus,Online,History,2023 CY,4.4 hours,Required,2.38 GPA,1.4 hours,Junior,16-week,100.0%,Studio,On time,No,No,60.0,2 stars,12,4,1 partner,13 cr,9.2 hours,Yes,Small
Prairie Campus,Online,Physics,Not Available,17.3 hours,Elective,3.18 GPA,4.6 hours,Sophomore,16-week,71.1%,Lab-heavy,Late enroll,No,Yes,77.78,3 stars,16,4,0 partners,16 cr,7.8 hours,Yes,Medium
Harbor Campus,In-person,Biology,2020 CY,8.7 hours,Elective,3.06 GPA,3.2 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,No,74.08,3 stars,8,0,0 partners,13 cr,5.7 hours,No,Large
Grove Campus,In-person,Stats,2023 CY,10.7 hours,Required,3.99 GPA,3.2 hours,Junior,16-week,92.9%,Lab-heavy,On time,No,No,88.59,4 stars,15,7,2 partners,15 cr,9.0 hours,Yes,Small
Capitol Campus,In-person,Chemistry,2023 CY,7.4 hours,Required,2.47 GPA,1.4 hours,Freshman,10-week,84.7%,Lecture,On time,Yes,No,61.8,2 stars,15,7,1 partner,16 cr,6.3 hours,Yes,Medium
Delta Campus,Online,Physics,2019 CY,8.4 hours,Required,2.98 GPA,3.9 hours,Junior,12-week,77.1%,Lecture,On time,No,Yes,61.14,2 stars,12,8,1 partner,12 cr,6.8 hours,Yes,Large
Prairie Campus,Online,Civics,2023 CY,15.2 hours,Required,2.73 GPA,6.4 hours,Senior,16-week,83.8%,Lab-heavy,On time,Yes,No,91.23,4 stars,14,6,1 partner,16 cr,7.8 hours,Yes,Medium
Hill Campus,In-person,Stats,2021 CY,3.0 hours,Required,2.68 GPA,0.8 hours,Sophomore,16-week,63.4%,Lab-heavy,Late enroll,Yes,No,38.14,1 star,12,4,0 partners,13 cr,4.6 hours,Yes,Small
Capitol Campus,Hybrid,Biology,2023 CY,10.0 hours,Required,3.66 GPA,1.7 hours,Sophomore,16-week,81.8%,Lecture,On time,Yes,No,77.26,3 stars,13,6,0 partners,15 cr,6.5 hours,No,Medium
River Campus,In-person,Biology,2022 CY,6.6 hours,Required,3.04 GPA,4.1 hours,Freshman,12-week,80.4%,Lab-heavy,Late enroll,No,Yes,67.51,2 stars,13,5,0 partners,13 cr,6.2 hours,No,Medium
Delta Campus,Hybrid,Biology,2021 CY,9.2 hours,Required,2.78 GPA,3.0 hours,Freshman,16-week,75.3%,Lecture,On time,Yes,Yes,73.1,3 stars,13,3,1 partner,15 cr,7.0 hours,No,Medium
Capitol Campus,In-person,Biology,2020 CY,7.1 hours,Required,2.92 GPA,2.1 hours,Sophomore,12-week,96.5%,Lecture,On time,Yes,No,64.71,2 stars,11,1,0 partners,9 cr,7.2 hours,Yes,Small
North Campus,In-person,Literature,2020 CY,5.9 hours,Required,2.90 GPA,1.8 hours,Senior,12-week,86.8%,Studio,On time,Yes,No,72.32,3 stars,8,6,0 partners,9 cr,6.7 hours,No,Small
Harbor Campus,Hybrid,Stats,2020 CY,8.6 hours,Elective,2.94 GPA,1.9 hours,Sophomore,16-week,73.6%,Lecture,Late enroll,Yes,No,67.15,2 stars,11,3,3 partners,13 cr,6.7 hours,Yes,Large
Grove Campus,In-person,Stats,2023 CY,2.3 hours,Required,2.58 GPA,1.7 hours,Junior,12-week,85.7%,Lab-heavy,On time,No,Yes,51.93,1 star,13,5,0 partners,13 cr,8.0 hours,Yes,Medium
Grove Campus,In-person,Chemistry,2021 CY,7.5 hours,Elective,3.03 GPA,1.4 hours,Junior,16-week,92.6%,Lab-heavy,On time,Yes,No,62.76,2 stars,15,1,1 partner,15 cr,7.1 hours,Yes,Small
North Campus,In-person,Literature,2021 CY,8.8 hours,Required,2.87 GPA,1.5 hours,Freshman,16-week,89.7%,Lecture,On time,Yes,No,69.55,2 stars,6,3,0 partners,9 cr,6.8 hours,Yes,Medium
