branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
North Branch,Branch,Personal,2023 VY,"$77,800",Purchase,"$10,490","$18,200",Contract,36-month,7.89%,Simple,On time,Yes,No,16459.28,3 stars,4,12,3 borrowers,$0,"$6,960",Yes,Auto
Prairie Branch,Broker,Mortgage,2023 VY,"$58,500",Refinance,"$10,640","$370,900",Employed,360-month,9.41%,Full-doc,2-year prior,No,No,266334.02,3 stars,0,8,1 borrower,"$59,770","$2,520",No,Unsecured
North Branch,Online,Personal,2020 VY,"$38,500",Refinance,"$12,790","$13,200",Employed,54-month,7.55%,Simple,Late docs,No,Yes,10307.58,3 stars,6,10,2 borrowers,$0,"$8,100",Yes,Auto
Delta Branch,Online,Card,2021 VY,"$54,300",Purchase,"$10,080","$11,600",Employed,24-month,14.49%,Simple,Late docs,No,No,8738.9,3 stars,8,7,1 borrower,$0,"$7,120",Yes,Auto
Harbor Branch,Branch,Personal,2019 VY,"$57,100",Refinance,"$10,550","$13,900",Employed,36-month,11.17%,Simple,On time,Yes,Yes,11365.92,3 stars,7,12,1 borrower,$0,"$9,970",Yes,Unsecured
Central Branch,Branch,SME,Not Available,"$81,900",Purchase,"$15,980","$132,600",Employed,90-month,5.08%,Schedule-heavy,On time,Yes,Yes,135199.61,4 stars,1,16,2 borrowers,$0,"$17,850",No,Real-estate
North Branch,Branch,Auto,2022 VY,"$59,500",Refinance,"$23,740","$18,500",Employed,60-month,10.91%,Simple,On time,Yes,Yes,11725.97,2 stars,6,13,2 borrowers,"$3,810","$1,430",Yes,Unsecured
North Branch,Broker,SME,2023 VY,"$137,400",Purchase,"$11,520","$14,600",Retired,60-month,6.99%,Schedule-heavy,On time,No,No,14715.11,5 stars,0,19,2 borrowers,$0,"$29,910",Yes,Unsecured
Harbor Branch,Online,Auto,2023 VY,"$97,200",Purchase,"$34,340","$21,400",Self-employed,90-month,7.22%,Simple,On time,No,Yes,17286.21,2 stars,6,17,1 borrower,"$1,410","$18,750",Yes,Real-estate
Prairie Branch,Online,Student,Not Available,"$26,900",Refinance,"$7,210","$28,800",Employed,120-month,6.48%,Simple,Late docs,No,Yes,23395.17,2 stars,6,9,2 borrowers,$0,"$6,400",Yes,Real-estate
River Branch,Branch,Auto,2020 VY,"$57,200",Refinance,"$23,160","$26,100",Employed,90-month,10.79%,Simple,On time,Yes,No,15452.22,2 stars,6,11,4 borrowers,"$5,700","$4,220",No,Unsecured
